evaluations raw_y x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10
45 -0.5431116951 -0.182905 -0.094670 0.184651 -0.311706 -0.365245 -0.056108 -0.394786 0.047597 0.731974 0.798077 -1.000000
46 -0.4673606128 -0.895727 -0.197978 -0.659450 -0.027957 -0.236674 0.750152 0.483193 1.000000 0.092099 -0.097090 -0.818667
47 -0.4081045654 -0.447042 0.061313 -0.976044 -0.178421 0.295162 0.791348 0.641163 0.585468 0.430209 0.767188 -0.807962
48 -0.1818306591 -0.631590 -0.353962 0.501246 -0.161242 -0.897081 -0.097304 -0.552756 0.696032 0.393864 -0.066201 -1.000000
49 -0.3859049076 -0.877169 0.004752 -0.301893 -0.510960 0.194185 0.094421 0.154275 0.913954 0.354964 0.377541 -0.717299
50 -0.5885526358 -0.201463 -0.297400 -0.172905 0.171297 -0.796104 0.599623 -0.065868 0.367546 0.469109 0.323446 -1.000000
51 -0.5128425333 -0.710870 -0.313801 -0.890466 -0.692984 -0.055173 0.250670 0.108136 0.017230 0.921563 -0.082603 -0.943452
52 -0.5389002181 -0.367762 0.021153 0.415668 0.353321 -0.546746 0.443374 -0.019729 1.000000 -0.097491 0.783590 -0.947284
53 -0.3813108491 0.023166 -0.012538 0.405869 0.165200 -0.444121 -0.047807 0.304609 0.546843 0.136261 -0.100545 -0.991893
54 -0.2938635105 -1.000000 -0.280110 -0.880668 -0.504863 -0.157798 0.741851 -0.216202 0.734657 0.687812 0.801531 -0.898843
55 -0.3714463878 -0.990836 -0.272015 -0.753525 -0.282726 -0.236301 -0.543827 0.293317 1.000000 0.177037 0.708895 -0.664479
56 -0.2727043804 -0.233158 -0.063924 0.691063 0.196949 -1.000000 0.360157 -0.389533 -0.037338 0.764819 1.000000 -0.720757
57 -0.0444723300 0.049600 -0.343596 -0.159827 0.485040 -0.782104 1.000000 -0.676605 0.600879 0.557613 1.000000 -0.439959
58 -0.5167868954 -0.657741 -0.033046 0.015934 -0.521813 -0.307333 -0.364633 0.468771 0.163054 0.385768 -0.180580 -1.000000
